task_family,dataset,backend_group,model,backend,method,method_label,runs,seeds,budget_min,budget_max,best_acc_mean,best_acc_std,final_acc_mean,final_acc_std,stability_drop_mean,stability_drop_std,invalid_answer_rate_mean,avg_staleness_mean,client_gini_mean
proxy_vqa,path_vqa_closed,proxy_vqa,qwen2_5_vl_3b_qlora,compact_vqa_proxy_for_qwen_vl,caa_fedbuff_v2,CAA-v2,1,1,50,50,0.8066666666666666,0.0,0.7433333333333333,0.0,0.06333333333333335,0.0,0.0,1.38,0.12444444444444436
proxy_vqa,path_vqa_closed,proxy_vqa,qwen2_5_vl_3b_qlora,compact_vqa_proxy_for_qwen_vl,fedbuff_async,FedBuff,1,1,50,50,0.81,0.0,0.7533333333333333,0.0,0.056666666666666754,0.0,0.0,1.38,0.12444444444444436
proxy_vqa,path_vqa_closed,proxy_vqa,qwen2_5_vl_3b_qlora,compact_vqa_proxy_for_qwen_vl,naive_async,Naive Async,1,1,50,50,0.8166666666666667,0.0,0.7966666666666666,0.0,0.020000000000000018,0.0,0.0,7.22,0.12444444444444436
proxy_vqa,path_vqa_closed,proxy_vqa,qwen2_5_vl_3b_qlora,compact_vqa_proxy_for_qwen_vl,staleness_async,Staleness,1,1,50,50,0.82,0.0,0.7833333333333333,0.0,0.036666666666666625,0.0,0.0,7.22,0.12444444444444436
proxy_vqa,path_vqa_closed,proxy_vqa,qwen2_5_vl_3b_qlora,compact_vqa_proxy_for_qwen_vl,sync_fedavg,Sync,1,1,50,50,0.82,0.0,0.82,0.0,0.0,0.0,0.0,0.0,
proxy_vqa,path_vqa_closed,proxy_vqa,qwen_vl_proxy,compact_vqa_proxy,caa_fedbuff_v2,CAA-v2,3,3,50,50,0.7855555555555555,0.018358568490953648,0.778888888888889,0.029122983160180305,0.006666666666666672,0.011547005383792526,0.0,1.3800000000000001,0.20266666666666663
proxy_vqa,path_vqa_closed,proxy_vqa,qwen_vl_proxy,compact_vqa_proxy,fedbuff_async,FedBuff,3,3,50,50,0.7944444444444444,0.018954135676924475,0.7888888888888889,0.013877773329774207,0.005555555555555573,0.009622504486493794,0.0,1.3800000000000001,0.20266666666666663
proxy_vqa,path_vqa_closed,proxy_vqa,qwen_vl_proxy,compact_vqa_proxy,naive_async,Naive Async,3,3,50,50,0.7966666666666665,0.021858128414339997,0.7877777777777778,0.025239592648001217,0.008888888888888872,0.012619796324000607,0.0,7.3066666666666675,0.20266666666666663
proxy_vqa,path_vqa_closed,proxy_vqa,qwen_vl_proxy,compact_vqa_proxy,staleness_async,Staleness,3,3,50,50,0.7988888888888889,0.0189541356769244,0.7877777777777778,0.023648662948658614,0.011111111111111072,0.013877773329774202,0.0,7.3066666666666675,0.20266666666666663
proxy_vqa,path_vqa_closed,proxy_vqa,qwen_vl_proxy,compact_vqa_proxy,sync_fedavg,Sync,3,3,50,50,0.7911111111111112,0.03168128317640723,0.7911111111111112,0.03168128317640723,0.0,0.0,0.0,0.0,
